DataLength,ChunkSize,Time(microseconds),ComparisonCount
1000,2,65,8697
1000,4,57,8758
1000,8,62,9126
1000,16,48,10296
1000,32,56,13410
1000,64,91,20278
1000,128,130,34631
1000,256,237,66429
1000,512,460,129686
1000,1024,868,255759
2000,2,128,19423
2000,4,137,19565
2000,8,130,20364
2000,16,136,22830
2000,32,157,29445
2000,64,176,43357
2000,128,306,72580
2000,256,508,134828
2000,512,881,261525
2000,1024,1656,508018
4000,2,333,42864
4000,4,316,43117
4000,8,283,44707
4000,16,310,49666
4000,32,310,62970
4000,64,417,90718
4000,128,570,150391
4000,256,934,269808
4000,512,1774,522633
4000,1024,3324,1015411
8000,2,717,93761
8000,4,678,94209
8000,8,657,97314
8000,16,665,107254
8000,32,764,133481
8000,64,873,188985
8000,128,1234,308072
8000,256,2013,553160
8000,512,3677,1045788
8000,1024,6786,2030611
16000,2,1591,203590
16000,4,1457,204563
16000,8,1460,210518
16000,16,1442,230354
16000,32,1557,281957
16000,64,2085,392017
16000,128,2719,631055
16000,256,4140,1123763
16000,512,7418,2128486
16000,1024,15542,4089241
32000,2,3320,439214
32000,4,3188,441194
32000,8,3118,453184
32000,16,3147,492909
32000,32,3341,595326
32000,64,3932,819454
32000,128,5548,1300531
32000,256,8524,2287552
32000,512,14999,4294955
32000,1024,27692,8293828
64000,2,7073,942093
64000,4,6818,946090
64000,8,6562,970167
64000,16,6655,1050138
64000,32,7123,1253050
64000,64,8350,1704215
64000,128,11201,2672588
64000,256,17543,4658166
64000,512,30458,8708658
64000,1024,56224,16739404
128000,2,15998,2012132
128000,4,15062,2020094
128000,8,15031,2068328
128000,16,15092,2227735
128000,32,16359,2630196
128000,64,18992,3531961
128000,128,26437,5463039
128000,256,40000,9442414
128000,512,69040,17521749
128000,1024,126294,33710451
256000,2,33626,4280139
256000,4,32765,4296172
256000,8,31395,4392647
256000,16,31933,4710089
256000,32,34845,5515850
256000,64,39831,7329934
256000,128,53866,11182879
256000,256,82287,19139438
256000,512,136740,35315268
256000,1024,257397,67754117
512000,2,72830,9072076
512000,4,69253,9104424
512000,8,68509,9299507
512000,16,68400,9934859
512000,32,73490,11543307
512000,64,96631,15171673
512000,128,141678,22872954
512000,256,214028,38772357
512000,512,355820,71076968
512000,1024,645914,136212877
1024000,2,194253,19168164
1024000,4,182213,19232770
1024000,8,180088,19624038
1024000,16,179279,20894412
1024000,32,189054,24108980
1024000,64,220264,31365785
1024000,128,286410,46775854
1024000,256,427128,78569609
1024000,512,722917,143096758
1024000,1024,1318652,273202192
2048000,2,315241,40385301
2048000,4,385789,40513596
2048000,8,385469,41294672
2048000,16,390019,43837761
2048000,32,408127,50271978
2048000,64,467512,64784438
2048000,128,588586,95591244
2048000,256,886481,159103469
2048000,512,1456176,288121413
2048000,1024,1918547,548573250
4096000,2,664809,84866671
4096000,4,656794,85121642
4096000,8,611503,86685028
4096000,16,608450,91766451
4096000,32,636746,104657197
4096000,64,717362,133676593
4096000,128,904588,195271299
4096000,256,1306575,322414826
4096000,512,2130365,580447730
4096000,1024,3805916,1100959224
8192000,2,1321498,177922932
8192000,4,1284792,178433716
8192000,8,1264013,181557667
8192000,16,1273204,191722020
8192000,32,1327895,217478353
8192000,64,1500892,275495375
8192000,128,1867317,398744762
8192000,256,2665418,652924782
8192000,512,4321121,1169062388
8192000,1024,7670491,2209826100
16384000,2,2764623,372232610
16384000,4,2678045,373256537
16384000,8,2652231,379503863
16384000,16,2656795,399820086
16384000,32,2778700,451351958
16384000,64,3116403,567362604
16384000,128,3850120,813847390
16384000,256,5439330,1322278576
16384000,512,8741741,2355128527
16384000,1024,15441830,4436362525
10000000,2,1645578,224000491
10000000,4,1597571,224623949
10000000,8,1578842,228438336
10000000,16,1584483,240842273
10000000,32,1654658,272292865
10000000,64,1850056,343110219
10000000,128,2317936,493567690
10000000,256,3289105,803843569
10000000,512,5313652,1434149692
10000000,1024,9382755,2704268994
