DataLength,ChunkSize,Time(microseconds),ComparisonCount
1000,2,65,8700
1000,4,63,8760
1000,8,53,9113
1000,16,49,10321
1000,32,65,13599
1000,64,77,20328
1000,128,150,34962
1000,256,229,67837
1000,512,449,130250
1000,1024,849,255759
2000,2,149,19424
2000,4,126,19547
2000,8,130,20257
2000,16,129,22613
2000,32,145,28902
2000,64,225,42538
2000,128,266,72406
2000,256,479,136523
2000,512,899,259719
2000,1024,1675,504670
4000,2,375,42818
4000,4,341,43078
4000,8,326,44530
4000,16,340,49152
4000,32,346,61939
4000,64,429,89130
4000,128,583,148268
4000,256,969,274209
4000,512,2179,525513
4000,1024,3897,1019753
8000,2,952,93694
8000,4,801,94262
8000,8,777,97083
8000,16,817,106641
8000,32,899,132214
8000,64,1026,186627
8000,128,1343,307310
8000,256,2148,552303
8000,512,3649,1051077
8000,1024,6828,2029797
16000,2,1835,203396
16000,4,1759,204458
16000,8,1707,210118
16000,16,1696,229434
16000,32,1701,279170
16000,64,1999,389667
16000,128,2684,628286
16000,256,4172,1111017
16000,512,7421,2101887
16000,1024,14239,4073873
32000,2,3922,438850
32000,4,3808,440851
32000,8,3675,452184
32000,16,3562,490299
32000,32,3671,588535
32000,64,4242,809707
32000,128,5651,1286597
32000,256,8987,2256217
32000,512,15163,4232499
32000,1024,28655,8211405
64000,2,8365,941376
64000,4,8022,945200
64000,8,7696,968211
64000,16,7591,1044982
64000,32,7750,1242699
64000,64,8915,1683246
64000,128,12066,2628418
64000,256,17710,4568954
64000,512,30356,8515833
64000,1024,56375,16468021
128000,2,17613,2010529
128000,4,16930,2018119
128000,8,16334,2064318
128000,16,16362,2217653
128000,32,16683,2610397
128000,64,19208,3494440
128000,128,24675,5374815
128000,256,36879,9251922
128000,512,62814,17146960
128000,1024,115385,33024147
256000,2,37592,4276938
256000,4,36743,4292083
256000,8,34834,4383806
256000,16,33923,4690208
256000,32,35857,5474416
256000,64,40314,7239273
256000,128,51530,11002868
256000,256,76680,18772521
256000,512,125897,34558354
256000,1024,229497,66274236
512000,2,80203,9065548
512000,4,76433,9095691
512000,8,74689,9280834
512000,16,74291,9892298
512000,32,76008,11454522
512000,64,84167,14981500
512000,128,106672,22494505
512000,256,155814,38013307
512000,512,257393,69521059
512000,1024,463932,132918704
1024000,2,166734,19154632
1024000,4,161525,19214695
1024000,8,156912,19585012
1024000,16,155438,20811239
1024000,32,159849,23931569
1024000,64,177878,30980114
1024000,128,222260,46004007
1024000,256,319156,77037168
1024000,512,521729,140082059
1024000,1024,933492,267092014
2048000,2,347851,40355995
2048000,4,337913,40475139
2048000,8,330507,41217228
2048000,16,323557,43664397
2048000,32,335416,49906527
2048000,64,370784,64015812
2048000,128,459211,94070979
2048000,256,654774,156190620
2048000,512,1059537,282273304
2048000,1024,1886096,536421828
4096000,2,845618,84808606
4096000,4,825070,85046920
4096000,8,798777,86532820
4096000,16,819769,91425859
4096000,32,827313,103908298
4096000,64,814864,132134708
4096000,128,962568,192204217
4096000,256,1495924,316324222
4096000,512,2666311,568324921
4096000,1024,4658614,1076584975
8192000,2,1762228,177806984
8192000,4,1674438,178284089
8192000,8,1679969,181260860
8192000,16,1656574,191051720
8192000,32,1621329,216023495
8192000,64,1873244,272509942
8192000,128,2428484,392659624
8192000,256,3581261,640863899
8192000,512,5354464,1144913858
8192000,1024,9535471,2161105915
